cid,text,time,author,channel,votes,photo,heart
UgzCtzg7Qh7XL6oJ8HR4AaABAg,"these vaccines r not protective against delta so how they will stop omicron we need some serious cure for this problem. nobody knows what will happen when people will stop taking these vaccines?? i think government should focus on  serious reseach work to find a cure.if they had some serious work on HIV aids , this thing will never take so long.",10 dagen geleden,Saba,UCDlQkb6b3GOWz6syMtPEmiw,0,https://yt3.ggpht.com/ytc/AKedOLQgGWcSQYefRORbxYLXdN7sjSqx9fb-splxGDgBMlGrBljPhczOm4DNaA5ade2k=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLRHFZ_tPGQxOGB_V4AaABAg,"Apparently the side effects include stuffy nose, mild body aches and increasing global dictatorship 🐍☠",10 dagen geleden,truthmerchant1,UChLl_oYoKaiA2vUgqAhCaBA,0,https://yt3.ggpht.com/ytc/AKedOLTLigbnSM-6TC2R_7uQd-fImV3KK_ZpoGNX6Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwku0al8vumv3RxbSt4AaABAg,DISLIKE,10 dagen geleden,Tracy Bell,UCId4msf96mMPx3Yop6w-iwg,1,https://yt3.ggpht.com/ytc/AKedOLRVRJHa-f3LEWaHOxyCJu9rKvyD_sPdWRRKZw0v=s176-c-k-c0x00ffffff-no-rj,0.0
UgxksAJAwB5K_OdyqPV4AaABAg,Funny how it's  classed as mild in the place it originated.  Bbc love to scaremonger for the elites. No video on the 2 heart attacks that suspended 2 football games last night.,10 dagen geleden,Fur Q,UCyT8dBQjK0KSlVVpcbC8fEQ,0,https://yt3.ggpht.com/ytc/AKedOLTR_HgyrL8zjy88-MTdOeTnUdPXypOBxrQ0SRi2MQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqiXI1-RXizWK-dX94AaABAg,Fear death 💀 watch us live in fear what a load of shit 😂 bbc is pathetic but nothing new there.,10 dagen geleden,Adam,UC2fnWXFcItDDluBRtdAy1BQ,0,https://yt3.ggpht.com/ytc/AKedOLS_Dilcem6BeDC1tbe5PIR_Wd6XIV-JVu6F8TJwHQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwl9TbHL72KPkEiu6N4AaABAg,🤣🤣🤣pish,10 dagen geleden,Klause S.,UC2B2-Y3QroJXkwf6UxcdaUQ,0,https://yt3.ggpht.com/ytc/AKedOLRfoiLjk0GHTE0Ywo8yyqzbd-wBsnCM48Eb2MDoBjPLtFA8ICgBavLEsWjAckzY=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAMqEjyK19gqsRl8h4AaABAg,"The REVOLUTION has begun!!! All of those who have aloud this fraud to continue, your freedom will be at an end sooner than you realise! Choose your side now, history is watching 👁 👁",10 dagen geleden,Stephen Kennedy,UCpdXgJyQ-6O-aeOqJgw1kNQ,0,https://yt3.ggpht.com/ytc/AKedOLQgM8X-cZecSCIFiO2RzBwO7EMFTeaiwgpENg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxl_9JiSDGK6gI9cCh4AaABAg,The walls of your great reset are cracking.,10 dagen geleden,W M,UCfrPYl6B38QB5MV6JwndrrA,0,https://yt3.ggpht.com/ytc/AKedOLTT_OIL8Wk649FqYO-AiIVH-bra1r1SYPO4RcE4Bw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNmeDcu9rEfoqf2zl4AaABAg,"This variant is mild, stop spreading the fear.",10 dagen geleden,Valexy,UC_u01sjIz1iZZU_-YyxTRFw,0,https://yt3.ggpht.com/ytc/AKedOLRFuWWJEewMIa91dry7K9zhO7BiysqINiHiky9_VizVR-iK1H4xRg77ohzDSfWx=s176-c-k-c0x00ffffff-no-rj,0.0
UgywzUCMuYER6fwkCqh4AaABAg,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,10 dagen geleden,Barley Afloat,UC_7tyHGXxpMlrybQJDOvksw,0,https://yt3.ggpht.com/SqHC6vB9mo7PI-mBQ-4pcdKxeJXvDkKC5rPAaqRI8a4GrPqaU2aKmSHzq1X4mQs98FSLG8VH=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh5_z8-oezZz6vJ594AaABAg,Calling all deceptorcons..................calling all deceptorcons.........................,10 dagen geleden,dtulip1,UCA1deDqtG-uyiZF8LcpazFg,0,https://yt3.ggpht.com/ytc/AKedOLSvsHeyTwH0x0yuQoUbekpirqQosH3e9JrqfDEC=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4GZms7TyqkH5sUkR4AaABAg,Mass shooter.... bbc hq..... plse xxx,10 dagen geleden,Tomu Cow,UCIOHxC8NTqkZqtaIcnOENOA,0,https://yt3.ggpht.com/ytc/AKedOLTItASvsFx5i9qif6tdE2NgWNOWLe3xb31kvGJtng=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_tts6_HSXDQaPbz94AaABAg,"Nobody believes you ! 
Every day less ! Manipulating people!!!",10 dagen geleden,Danny Boy,UCIYVEeEz-1Kjkbk4yJRYqrQ,0,https://yt3.ggpht.com/ytc/AKedOLR92GLXr2vY_J3gDtLKfhgAurzGJVWFrNBT8D2t=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqjBXATyrkJHrmgT94AaABAg,Vaccines mandated for everyone in order to legitimise the passport… passport required for purposes of digital registration… registration required for the issuing of programmable Central Bank Digital Currencies…. CBDCs necessary to stand up behavioural Social Crediting System a la China. This is about rolling out new economic tyranny as the old system is purposefully crashed through money printing.,10 dagen geleden,Winston Smith,UC3uCrOkFn6FEPWXrVz-AMnA,0,https://yt3.ggpht.com/ytc/AKedOLRyLbkc2ogR5OckbYrxJpe2vXOiFGoJPupRNn61HaSEL2QutvdFxnvGWJu9kquX=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxV1CaODrYE9gHwGB4AaABAg,2022,10 dagen geleden,Meet Barkade,UCRdzHA-OZBNXZt4Ch5plHMA,0,https://yt3.ggpht.com/ytc/AKedOLR0ONK3rUSea40UQq1B8p4XdGFBQL36_4Po2_jZuA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoVo3fAVDnZap3dO54AaABAg,"As far as I know, no one called the feds & said “All our citizens are dying of Covid-19! Please send help!”…They created the virus, released the virus & produced propaganda about the virus… simply so they can be in control of your behaviors as well as your business. I dare you to disprove, beyond a reasonable doubt, anything stated here. The fact is you can’t. This is our last chance to make our voices heard & force the feds to quit interfering with our livelihoods. Don’t fuck it up.",10 dagen geleden,Max Ego,UCJJ7GTFQ3bU9oOs-wlQFz3Q,0,https://yt3.ggpht.com/QK9esLpVA9wnmAxEhreoBskaN6kSw00zgDinlEbNk8qqtmQSLWEhp-Qx51VKwvqCs-awvJpETw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyX3GMDe5lF_wWQpxh4AaABAg,", Did you know that Delta and Omicron is an anagram of Media Control ? Just a coincidence?",10 dagen geleden,Stu Crossland,UCG5mtD6TqmawQG3G4hV_hag,0,https://yt3.ggpht.com/ytc/AKedOLTl2AKMpdvDiBgqCrEAzh7DmC3-vxXQ3ZUl9w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1l9-gRy4wo5IwA3x4AaABAg,What a joke,10 dagen geleden,D Day,UCQRPp27AMSePrXwQCw3JGow,0,https://yt3.ggpht.com/ytc/AKedOLQLnXp3mN3hTi1RdT30w1BnW_M_liPBlSWAJA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoUHEJp8dwOekS8ah4AaABAg,"""Bollocks""",10 dagen geleden,R j,UCIOX31sGthnd25j0bnxkGWw,0,https://yt3.ggpht.com/ytc/AKedOLROL09v5pndTYuorQt0aKM-QcfHFGTXwoCrXA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4aIRmejoYjihWFe54AaABAg,"""Could be""",10 dagen geleden,R j,UCIOX31sGthnd25j0bnxkGWw,0,https://yt3.ggpht.com/ytc/AKedOLROL09v5pndTYuorQt0aKM-QcfHFGTXwoCrXA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyv1z5lziUoB8lGnlJ4AaABAg,"""Likely""",10 dagen geleden,R j,UCIOX31sGthnd25j0bnxkGWw,0,https://yt3.ggpht.com/ytc/AKedOLROL09v5pndTYuorQt0aKM-QcfHFGTXwoCrXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPqp94EX3mY5W1Mvx4AaABAg,"University of Oxford Professor Jim Naismith asserts that despite England dropping its mask mandate in July and Scotland keeping its rules in force, official data shows this “has made no meaningful difference” to infection rates.",10 dagen geleden,Peter Bardy,UCbqhE9x69sXsTFPJGznOHsg,0,https://yt3.ggpht.com/ytc/AKedOLTFi3DAAW_IvVynb-x1VH3G9Yih_r0EiR4ZwDfxbEYxDg7J3oyM_Rukzk0BXMlZ=s176-c-k-c0x00ffffff-no-rj,0.0
UgywIbGc1Wilaq7Ttnp4AaABAg,... omicron may be a godsend ... becoming a natural mild vaccine ...,10 dagen geleden,Renee Van Deventer,UCmqvvt5OsbxLyYBEU9vK5Jw,0,https://yt3.ggpht.com/ytc/AKedOLQb20dIGCt-Tg89fMcg5UwYK8hTaSOpPGIs1A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyP-6XokDQm-BsMOLt4AaABAg,"“Before mass leaders seize the power to fit reality to their lies, their propaganda is marked by its extreme contempt for facts as such, for in their opinion fact depends entirely on the power of man who can fabricate it.”
― Hannah Arendt, The Origins of Totalitarianism",10 dagen geleden,Capn Birdseye,UCWb9JJun0iFg3u1a4WmoxNA,0,https://yt3.ggpht.com/ytc/AKedOLRhdPpldIOu2kCHakBDDhZA9cStoJnrHP-lrEHAGQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8bKbvaKxqTbo1tGh4AaABAg,I hope we all die now. Humans are crap anyway…,10 dagen geleden,Kyle B,UCLO2ZeZJAsFXrVYm2r72xeQ,1,https://yt3.ggpht.com/ytc/AKedOLRWjt4UrQYgvGeyg7n7BhwIHDAj7kUZG8PfeYQPxw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_0odgHr3W6JDSb6l4AaABAg,Fake news. Feed the fear factory.,10 dagen geleden,koczeka,UC-w8C6Z_1IyAuTfg9rXmWoQ,0,https://yt3.ggpht.com/ytc/AKedOLQJZ7uKnhvOKmdPKo5ssORHgRpEqw-ULYBQCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyiCwnn7TejEm7OjUZ4AaABAg,Kahana kya chahati ho,10 dagen geleden,Jainuddin Ali,UCQXvK0aaHEpimsibjXC0VXQ,0,https://yt3.ggpht.com/DMuSyOZbL42yFxeRO1KdOzn0-2tTcWAfu_1W2gpw3nWDOzgQv-gHpqVHyLNzIuPLDLQ7QoJ0e_4=s176-c-k-c0x00ffffff-no-rj,0.0
