cid,text,time,author,channel,votes,photo,heart
UgzvN3GZ6M8hz-ndXRF4AaABAg,"When is Genshin Impact gonna be compatible on Samsung/Play store? I really wanna play it, but i also can't download it on my Computer. When i run the game and click 'Get Game', it says ""download file error, check you're internet connection and try again.' How do i fix this problem?",9 dagen geleden (bewerkt),Sukuna Ryoumen,UCbjCgqqmSHFBaakGNsQA5Ig,0,https://yt3.ggpht.com/ZVkn3e_7ZQ5qJKYfkV_YyDhy49GuvhICS74l6uk0DOg7iQ_ThNpqqqCXBTRhNCDqtNY2fIfQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4ZFIXemeiaZ9qJLt4AaABAg,i didn't even get that 20 wish lol,9 dagen geleden,tine Sze,UCJW4XCMR6WWhDt1tYu6b9GA,0,https://yt3.ggpht.com/ytc/AKedOLRtwgRwiXYoPGTEDlQHXl4YiTdfZdTmEF6ZH3lv=s176-c-k-c0x00ffffff-no-rj,0.0
UgwicRuPaSIbrsjwRfl4AaABAg,Zgłaszać się Polska🇵🇱,9 dagen geleden,Lariś,UCXH3PLEf_vhA_O3cOZUcByQ,0,https://yt3.ggpht.com/DXtRjkrGj2dGRK3UuoRSx4IGaV9oaUyJqCFCsYmfXD2wxqUVMFyTelDw1m-tFtq2n1wtwE5Cvg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKOt-bkaWK32nF47x4AaABAg,"1.1 : Grab
1.4 : Ace Attorney 
2.3 : SUS",9 dagen geleden,AoffyDosy,UCQvVGT8_XJ3GTJfcKwJNaUw,1,https://yt3.ggpht.com/kxRLdYlXKWeQ2lltNuhTHuT0grgbFOr0m8qp9WmmLWcXzDgL6Kbt8h4f0ija-m3_kChSrl-Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5m8yqjxytvkIqNOF4AaABAg,I can’t believe this is a free game tho,9 dagen geleden,Sakura,UC7bGZlGiqh9KKKmNv9y_PAA,4,https://yt3.ggpht.com/ytc/AKedOLTbsMe_5RwVh33-jn4Qil7ilNaqw3LBa_bgqJe2fA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAvYep1yCsHl8aEhx4AaABAg,Pongan denuevo a kaedehara kazuha porfavor 😭,10 dagen geleden,Xiao Wuxian,UCpqQs6gFlubXsS4gc3T7SzQ,3,https://yt3.ggpht.com/I_tfc7uwCzqysrhy21tL28DF4QLGOqtuERKeDohcPzI1-MoTIOU6znCAxw15IW9lTZpIlkWVyA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcjqYz1zRz0CBozfF4AaABAg,Eu não consigo entrar  no jogo e olha que eu coloquei a senha,10 dagen geleden,Miguel Castro Miguel,UCXFGQC-kKqTQaEqDKF8mxOQ,0,https://yt3.ggpht.com/ytc/AKedOLSLTvTq0B50uEMJ13lrDuihg7Z8bKa5z_HqWA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxT15aLyO85vsu2_kN4AaABAg,"Hey, please help me. I'm new and whenever I download the game it crashes whenever it's veryfing. Please help d",10 dagen geleden,konrad_art,UCqKPRgDEAF4GCOS1VWzgo4Q,0,https://yt3.ggpht.com/ytc/AKedOLRSAVo8J7Hv4DZhxRqxjg7IT0qsaYKd_fcLnEUs7w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbdJxfTPM78VqIa2N4AaABAg,Nice.,10 dagen geleden,19. Lê Đức Mạnh 12.7,UCFQk0RNCCw6SKV7MPAIM2oA,0,https://yt3.ggpht.com/ytc/AKedOLT88nVzMW5_O7_jWQJY0E5nWxGNlmeKh_P5797arA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwb3RBl94B0AnK4bAB4AaABAg,Please we want Ayaka again or delete the game,11 dagen geleden,Arej D,UCyrjXYGEpHoHtRMpH_uRg-g,0,https://yt3.ggpht.com/ytc/AKedOLQ-znufmHB658c5Ks5ToBJwOMiM5FqS6HJ9=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx35Hq-_QzB5FYz6z14AaABAg,Mihoyo do u think we will remember the story for the next year?,11 dagen geleden,riaz ahmed,UCeSGMGCCDt1C3KWbSxVU0VQ,1,https://yt3.ggpht.com/ytc/AKedOLSj4QVsueK9eiFXGkoZT7-L5ECby6i2IRap8g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxpx1sD5CDVPFlsTx94AaABAg,"Some Genshin Impact characters as Vietnamese names.
Aether - Anh Thiên (Good guy)
Lumine - Lu mìn (Pot of bombs)
Beidou - Bê đổ (Falling baby cow)
Amber - Ám bơ (Haunted butter)
Eula - Yêu la (Scream love)
Albedo - Ăn bê đổ (Eaten falling baby cow)
Gorou - Gỗ rổ (Basket of woods)
Itto - Ít bồ (Less boyfriend)",11 dagen geleden,Thị Kim Phượng Võ,UCP-Vs5zlvhvBwuapxVShO6g,2,https://yt3.ggpht.com/ytc/AKedOLTP_ySBlVoOlGFFFamO2MErDXt4P7SS_K81AA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwS5MF-YvdCyv2EE-R4AaABAg,MIHOYO WHERE IS THE CONTINUATION OF THE ACT 3 IM SO CONFUSED,11 dagen geleden,「 Rym 」[Who Tao?],UCCpZRbY3rL7wrUtib3on5Uw,2,https://yt3.ggpht.com/I1KT3lGvaKa1jgd0b8BoCZj7zSx6a1fn4Z4_zhJwRj9Dgc4PLM6hlQG3O7Ufyc209nk5DucWuJY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_yllPdcbcHS_jW7x4AaABAg,Bennet real pyro archon,11 dagen geleden,IGITO,UCLJZ0YXqhZJBD_F2xMijQKg,1,https://yt3.ggpht.com/6AohCz8v7skXuYimEN6iArfj0axZOy2S-8hNtRvOwyT4Zu1wJ7n5n2-H2gUxdbcE6XdWrTPQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBGXsU9sQNVjHH4tt4AaABAg,"this is probably one of the best version on genshin, i love the dragonspine event sm, now give me my albedo",11 dagen geleden,rieru,UCB9c4T6OLz-yPwkC4HYGqdQ,4,https://yt3.ggpht.com/a09obhuoZIlrksqZO0Y-wTptKA7XZPKlUJ5tO9PEXZTGP8Fd4Jcipkl4kJfq21_wo8h9wRKy=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqB5YO3CFCghpHK2R4AaABAg,bts es feo,12 dagen geleden,yankie44,UCowjdfi7vt3NEMQ8DnMweUQ,0,https://yt3.ggpht.com/ETcWozyXIndDCyT7SWI5T1rYneii3x0Pabj0Nou61yV6JBf4h7ZLeP_rwFxPGrTNEilesQeL8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEP5WDinyG-Ai8r_F4AaABAg,"Dear Genshin developer team, as a C3 Albedo enjoyer I'm asking, please clarify the final scene of this dedicated Albedo event. Why is it so ambiguous, questionable in all nervous ways?
Do we have to wait until a year for the continuation? I don't mind waiting, but since event stories were never continuous/unrelated to main chapter quests before, it is too awkward end dedicated Albedo event with ambiguous scenes! 
Looking forward for more lore, otherwise I wouldn't C6 him until his next rerun (as if he would have another rerun) 😤",12 dagen geleden,Cocoa Rock Salt,UCvRDnRSLYz7t4qaDEpmGkDA,6,https://yt3.ggpht.com/ytc/AKedOLTKOveVIuUHbBJeCMiCKpG9tzGnpiGXQCTL1Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxT15aLyO85vsu2_kN4AaABAg.9VbD-dd5MS-9VbWyOd_pkD,Maybe your phone or pc not strong enough to genshin,10 dagen geleden (bewerkt),Franklin Felix (V-Spec club leader),UCAhm2y0rTVIdPBpzTrLLtsA,3,https://yt3.ggpht.com/FZBaeSWsEu3sBmOZdv7gYk7ncPHTFwNsKcXXkACiZ5p434NrT4bGXLtsy6Juz1wwBk4cZjjV=s176-c-k-c0x00ffffff-no-rj,0.0
UgxT15aLyO85vsu2_kN4AaABAg.9VbD-dd5MS-9VcNdXbdeQS,It could possibly be that your hardware can't handle the game,10 dagen geleden,dark castle107,UCU3lvFCnHvYiDfPCLsA_DCQ,2,https://yt3.ggpht.com/VbsiPmrHZuepf2xDM5s0SwOfkEuIKgPEEvMPx4ENWo2xuSWAb3rTA_QPLEMWUGhryMcMiPlrvQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEP5WDinyG-Ai8r_F4AaABAg.9VWlljXJ_lF9VYYP_qoywZ,Albedo event will be on November/ December next year same as last year.,12 dagen geleden,Tai,UCBVYvYvDnkhbGK-Z8hFWbaQ,1,https://yt3.ggpht.com/ytc/AKedOLRhOFcB10cYb109-Rax-SiZ524NJ8iRBNzhAa6MUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLOBraOVwNAG4cx6F4AaABAg,"when I'm get know the whooperflower is the imposter all along, I'm suddenly remembered there's user mocking the other youtube user theory abt fake albedo is whooperflower before the event started 

turn out it's true, damn, i wonder how that user feel when mocking the theory that be turn out to be correct",12 dagen geleden,Ayana,UCW5AfNB5HdBBn3D-W6OAFtg,2,https://yt3.ggpht.com/S4eGk4ZJ2biuzm3IxGyGaaRjoibh7IlaqjHS0QfF8q6LYlaX62PEEvVNxwPg0NA3UJHrL9YjE8Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyk36fkN9ZcyoiditN4AaABAg,Perfect,13 dagen geleden,armin,UCF2Watpt7dMVVPI4R2bFsvA,0,https://yt3.ggpht.com/p43t3ORvsvEIjIFejrfomtD9hPV4-D4mXw_zKIo14Ek9-NMvVlaG0QvDIUkYscnMsPkP0Zma8w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz11O9GMPaDWNm_Hu94AaABAg,Check the dragonspine poster on 1.2 albedo and check the current one...…..,13 dagen geleden,Yoriichi Tsugikuni,UC73d5rF5T4nuXHIceneYlNg,1,https://yt3.ggpht.com/ytc/AKedOLQv-tGMJBOXhSXI6bCaUp0Xpi4GzHztXHGxWJ6DHw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHZ-0a28zRgyPwgv94AaABAg,hi can i ask the intermediary why can't i download genshin impact on my phone?,13 dagen geleden,mia chan~♡,UCzJZKigI_cNCvBsozTb1YVw,0,https://yt3.ggpht.com/e8WB7tpqj76QuH78jGrkQKaUUaLVvgRt4EsPNKdsujFnC-yIBqUz_23f4aI41Hl0r860g45JFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRUj3fHdKFkUi8NPF4AaABAg,versi lite please,13 dagen geleden,budi 92an,UCa-caBRRJOUzVaBb5d8vOqw,0,https://yt3.ggpht.com/ytc/AKedOLSYYC85nUBBTjnyovQOa28L6dfeS5nXWK3DjW4FYA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNpY9_G0dvfLQjvHJ4AaABAg,The music in the Inazuma part is literally fire.,13 dagen geleden,SamCRDX,UC5AMLB9o__iszT7gzLiLBGA,0,https://yt3.ggpht.com/rc4jGT61MfEzTaAJFAzG4xeUqnvMys1GiOuC8KXFK4WiRzeENnBEBKSQ6mC_JzblrPUSxK58jg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRJM_C9vZg95waxcV4AaABAg,Arataki low key hot ….,13 dagen geleden,Taehyungswhore,UCavtEbc5YFl2JQxZ4CogM1Q,0,https://yt3.ggpht.com/sejPnYogFOsX5jTEtC1JpAdYFdG5aQFzr1brFP78kQOBAd0rQe0yYgDPuUlfebRE8H7hElvgXPM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxwctg_dfIP2705ie94AaABAg,I need a 10 star character 😭😭😭,13 dagen geleden,Taehyungswhore,UCavtEbc5YFl2JQxZ4CogM1Q,0,https://yt3.ggpht.com/sejPnYogFOsX5jTEtC1JpAdYFdG5aQFzr1brFP78kQOBAd0rQe0yYgDPuUlfebRE8H7hElvgXPM=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdH2bGhiyx2ctlsIl4AaABAg,I love the new story content! Thank you so much Mihoyo!!! 2.3 is a great version! And thank you for showing us Albado again 😊.,2 weken geleden,Veronika G.,UCcVzoAS3_JeMTTyFDwASWoA,1,https://yt3.ggpht.com/ytc/AKedOLQHqJ50SreUn2fl2XvT7qx-Ow5zZVRU0gR46g=s176-c-k-c0x00ffffff-no-rj,0.0
